id,acronym,name,color_hex_triplet,parent_structure_id,ABA_level,CASTLE_level,CASTLE_parent
997,root,root,#FFFFFF,,0,1,
73,VS,ventricular systems,#AAAAAA,997.0,1,1,
1009,fiber tracts,fiber tracts,#CCCCCC,997.0,1,1,
512,CB,Cerebellum,#F0F080,8.0,2,1,
313,MB,Midbrain,#FF64FF,343.0,3,1,
1097,HY,Hypothalamus,#E64438,1129.0,4,1,
549,TH,Thalamus,#FF7080,1129.0,4,1,
1065,HB,Hindbrain,#FF9B88,343.0,3,1,
698,OLF,Olfactory areas,#9AD2BD,695.0,5,1,
1089,HPF,Hippocampal formation,#7ED04B,695.0,5,1,
477,STR,Striatum,#98D6F9,623.0,4,1,
803,PAL,Pallidum,#8599CC,623.0,4,1,
703,CTXsp,Cortical subplate,#8ADA87,688.0,4,1,
315,Isocortex,Isocortex,#70FF71,695.0,5,1,
519,CBN,Cerebellar nuclei,#FFFDBC,512.0,3,2,512.0
528,CBX,Cerebellar cortex,#FFFC91,512.0,3,2,512.0
339,MBsen,"Midbrain, sensory related",#FF7AFF,313.0,4,2,313.0
348,MBsta,"Midbrain, behavioral state related",#FFA6FF,313.0,4,2,313.0
323,MBmot,"Midbrain, motor related",#FF90FF,313.0,4,2,313.0
290,LZ,Hypothalamic lateral zone,#F2483B,1097.0,5,2,1097.0
10671,ME,Median eminence,#ECE754,1097.0,5,2,1097.0
467,MEZ,Hypothalamic medial zone,#FF4C3E,1097.0,5,2,1097.0
141,PVR,Periventricular region,#FF5547,1097.0,5,2,1097.0
157,PVZ,Periventricular zone,#FF5D50,1097.0,5,2,1097.0
864,DORsm,"Thalamus, sensory-motor cortex related",#FF8084,549.0,5,2,549.0
856,DORpm,"Thalamus, polymodal association cortex related",#FF909F,549.0,5,2,549.0
507,MOB,Main olfactory bulb,#9AD2BD,698.0,6,2,698.0
151,AOB,Accessory olfactory bulb,#9DF0D2,698.0,6,2,698.0
814,DP,Dorsal peduncular area,#A4DAA4,698.0,6,2,698.0
566,TR,Postpiriform transition area,#A8ECD3,698.0,6,2,698.0
159,AON,Anterior olfactory nucleus,#54BF94,698.0,6,2,698.0
788,PAA,Piriform-amygdalar area,#59DAAB,698.0,6,2,698.0
631,COA,Cortical amygdalar area,#61E7B7,698.0,6,2,698.0
589,TT,Taenia tecta,#62D09F,698.0,6,2,698.0
961,PIR,Piriform area,#6ACBBA,698.0,6,2,698.0
