id,acronym,name,color_hex_triplet,parent_structure_id,ABA_level,CASTLE_level,CASTLE_parent
997,root,root,#FFFFFF,,0,1,
73,VS,ventricular systems,#AAAAAA,997.0,1,1,
1009,fiber tracts,fiber tracts,#CCCCCC,997.0,1,1,
512,CB,Cerebellum,#F0F080,8.0,2,1,
313,MB,Midbrain,#FF64FF,343.0,3,1,
1097,HY,Hypothalamus,#E64438,1129.0,4,1,
549,TH,Thalamus,#FF7080,1129.0,4,1,
1065,HB,Hindbrain,#FF9B88,343.0,3,1,
698,OLF,Olfactory areas,#9AD2BD,695.0,5,1,
1089,HPF,Hippocampal formation,#7ED04B,695.0,5,1,
477,STR,Striatum,#98D6F9,623.0,4,1,
803,PAL,Pallidum,#8599CC,623.0,4,1,
703,CTXsp,Cortical subplate,#8ADA87,688.0,4,1,
315,Isocortex,Isocortex,#70FF71,695.0,5,1,
